filename,text_chars,vector_chars,images_found,recommended_strategy,analyzed_at
audit_report_-_2023_pt_1.pdf,116,116,10,Strategy B (Layout-Aware),2026-03-03T16:34:46.389408
audit_report_-_2023_pt_10.pdf,0,0,5,Strategy C (VLM/OCR),2026-03-03T16:37:59.522907
audit_report_-_2023_pt_2.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T16:40:29.122542
audit_report_-_2023_pt_3.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T16:44:29.962753
audit_report_-_2023_pt_4.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T16:49:34.392379
audit_report_-_2023_pt_5.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T16:55:01.027021
audit_report_-_2023_pt_6.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T16:59:48.231523
audit_report_-_2023_pt_7.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T17:04:55.340653
audit_report_-_2023_pt_8.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T17:09:45.601628
audit_report_-_2023_pt_9.pdf,0,0,10,Strategy C (VLM/OCR),2026-03-03T17:13:44.603302
cbe_annual_report_2023-24_pt_1.pdf,5262,5262,24,Strategy B (Layout-Aware),2026-03-03T17:19:03.885816
cbe_annual_report_2023-24_pt_10.pdf,17921,17921,0,Strategy A (Fast Text),2026-03-03T17:20:00.631922
cbe_annual_report_2023-24_pt_11.pdf,21052,21052,0,Strategy A (Fast Text),2026-03-03T17:21:20.595350
cbe_annual_report_2023-24_pt_12.pdf,19398,19398,0,Strategy A (Fast Text),2026-03-03T17:22:39.453063
cbe_annual_report_2023-24_pt_13.pdf,16915,16915,0,Strategy A (Fast Text),2026-03-03T17:24:16.322498
cbe_annual_report_2023-24_pt_14.pdf,17255,17255,0,Strategy A (Fast Text),2026-03-03T17:26:16.776038
cbe_annual_report_2023-24_pt_15.pdf,17894,17894,0,Strategy A (Fast Text),2026-03-03T17:29:07.245580
cbe_annual_report_2023-24_pt_16.pdf,17933,17933,0,Strategy A (Fast Text),2026-03-03T17:31:16.772768
cbe_annual_report_2023-24_pt_17.pdf,30,30,1,Strategy C (VLM/OCR),2026-03-03T17:32:29.122700
cbe_annual_report_2023-24_pt_2.pdf,18246,18246,22,Strategy B (Layout-Aware),2026-03-03T17:32:40.752299
cbe_annual_report_2023-24_pt_3.pdf,5192,5192,21,Strategy B (Layout-Aware),2026-03-03T17:33:34.807856
cbe_annual_report_2023-24_pt_4.pdf,19726,19726,1,Strategy B (Layout-Aware),2026-03-03T17:36:26.657173
cbe_annual_report_2023-24_pt_5.pdf,35248,35248,0,Strategy A (Fast Text),2026-03-03T17:37:58.872998
cbe_annual_report_2023-24_pt_6.pdf,34792,34792,0,Strategy A (Fast Text),2026-03-03T17:38:29.641448
cbe_annual_report_2023-24_pt_7.pdf,29620,29620,0,Strategy A (Fast Text),2026-03-03T17:38:56.950033
cbe_annual_report_2023-24_pt_8.pdf,22803,22803,0,Strategy A (Fast Text),2026-03-03T17:39:53.229554
cbe_annual_report_2023-24_pt_9.pdf,20205,20205,0,Strategy A (Fast Text),2026-03-03T17:41:16.897647
fta_performance_survey_final_report_2022_pt_1.pdf,26247,26247,1,Strategy B (Layout-Aware),2026-03-03T17:42:32.930676
fta_performance_survey_final_report_2022_pt_10.pdf,18115,18115,6,Strategy B (Layout-Aware),2026-03-03T17:43:13.620129
fta_performance_survey_final_report_2022_pt_11.pdf,19242,19242,0,Strategy A (Fast Text),2026-03-03T17:43:59.037577
fta_performance_survey_final_report_2022_pt_12.pdf,15290,15290,0,Strategy A (Fast Text),2026-03-03T17:44:21.799941
fta_performance_survey_final_report_2022_pt_13.pdf,17351,17351,0,Strategy A (Fast Text),2026-03-03T17:46:07.023904
fta_performance_survey_final_report_2022_pt_14.pdf,14574,14574,0,Strategy A (Fast Text),2026-03-03T17:47:08.310082
fta_performance_survey_final_report_2022_pt_15.pdf,17805,17805,0,Strategy A (Fast Text),2026-03-03T17:50:59.300142
fta_performance_survey_final_report_2022_pt_16.pdf,6026,6026,0,Strategy A (Fast Text),2026-03-03T17:52:01.578055
fta_performance_survey_final_report_2022_pt_2.pdf,22203,22203,0,Strategy A (Fast Text),2026-03-03T17:52:30.029428
fta_performance_survey_final_report_2022_pt_3.pdf,21279,21279,1,Strategy B (Layout-Aware),2026-03-03T17:52:51.688314
fta_performance_survey_final_report_2022_pt_4.pdf,13478,13478,11,Strategy B (Layout-Aware),2026-03-03T17:53:34.235201
fta_performance_survey_final_report_2022_pt_5.pdf,17298,17298,10,Strategy B (Layout-Aware),2026-03-03T17:54:20.248236
fta_performance_survey_final_report_2022_pt_6.pdf,10201,10201,17,Strategy B (Layout-Aware),2026-03-03T17:55:05.556519
fta_performance_survey_final_report_2022_pt_7.pdf,12138,12138,17,Strategy B (Layout-Aware),2026-03-03T17:55:56.138811
fta_performance_survey_final_report_2022_pt_8.pdf,11963,11963,13,Strategy B (Layout-Aware),2026-03-03T17:56:43.923864
fta_performance_survey_final_report_2022_pt_9.pdf,20160,20160,4,Strategy B (Layout-Aware),2026-03-03T17:57:27.616609
tax_expenditure_ethiopia_2021_22_pt_1.pdf,18963,18963,2,Strategy B (Layout-Aware),2026-03-03T17:58:12.621492
tax_expenditure_ethiopia_2021_22_pt_2.pdf,20132,20132,0,Strategy A (Fast Text),2026-03-03T17:58:37.460723
tax_expenditure_ethiopia_2021_22_pt_3.pdf,17954,17954,0,Strategy A (Fast Text),2026-03-03T17:59:19.448122
tax_expenditure_ethiopia_2021_22_pt_4.pdf,14959,14959,0,Strategy A (Fast Text),2026-03-03T18:00:08.423583
tax_expenditure_ethiopia_2021_22_pt_5.pdf,16981,16981,0,Strategy A (Fast Text),2026-03-03T18:00:56.857565
tax_expenditure_ethiopia_2021_22_pt_6.pdf,16216,16216,0,Strategy A (Fast Text),2026-03-03T18:02:02.359322
